,Year,Reporting_District_ID,Arrest_Count,Call_Count
242,2017,506,49,129.0
243,2017,507,83,224.0
244,2017,508,19,25.0
245,2017,509,51,115.0
246,2017,511,92,108.0
247,2017,512,10,21.0
248,2017,513,93,309.0
249,2017,514,61,212.0
250,2017,515,65,170.0
251,2017,516,80,173.0
252,2017,517,84,205.0
253,2017,518,50,126.0
254,2017,519,87,176.0
255,2017,521,76,235.0
256,2017,522,88,200.0
257,2017,523,44,18.0
258,2017,524,50,78.0
259,2017,525,212,451.0
260,2017,526,124,375.0
261,2017,527,11,3.0
262,2017,528,39,101.0
263,2017,529,287,1051.0
264,2017,531,40,109.0
265,2017,532,50,117.0
266,2017,541,45,110.0
267,2017,551,45,115.0
268,2017,555,97,156.0
269,2017,557,164,729.0
270,2017,558,95,210.0
271,2017,559,16,6.0
272,2017,561,12,27.0
273,2017,562,21,59.0
274,2017,563,158,734.0
275,2017,564,221,605.0
276,2017,565,95,284.0
277,2017,566,252,905.0
278,2017,567,118,286.0
279,2017,569,38,7.0
280,2017,581,14,28.0
281,2017,583,41,60.0
282,2017,584,26,43.0
283,2017,585,96,331.0
284,2017,587,52,115.0
285,2017,589,39,54.0
286,2017,599,3,0.0
287,2017,600,18,0.0
288,2017,615,37,96.0
289,2017,621,8,14.0
290,2017,622,63,310.0
291,2017,625,53,146.0
292,2017,626,47,114.0
293,2017,627,27,48.0
294,2017,628,61,177.0
295,2017,629,20,26.0
296,2017,631,28,68.0
297,2017,632,61,322.0
298,2017,635,67,107.0
299,2017,636,1253,2644.0
300,2017,637,293,423.0
301,2017,638,92,299.0
302,2017,639,97,286.0
303,2017,642,57,161.0
304,2017,643,166,793.0
305,2017,644,221,858.0
306,2017,645,982,5072.0
307,2017,646,1247,5062.0
308,2017,647,395,1262.0
309,2017,648,144,456.0
310,2017,649,94,208.0
311,2017,656,142,509.0
312,2017,657,81,243.0
313,2017,659,142,335.0
314,2017,663,330,1248.0
315,2017,665,76,0.0
316,2017,666,1184,3598.0
317,2017,667,121,343.0
318,2017,668,243,978.0
319,2017,669,126,286.0
320,2017,671,2,0.0
321,2017,674,2,0.0
322,2017,676,151,508.0
323,2017,677,99,175.0
324,2017,678,240,734.0
325,2017,679,97,146.0
326,2017,696,2,0.0
327,2017,697,2,0.0
328,2017,699,2,0.0
329,2017,701,57,431.0
330,2017,702,85,475.0
331,2017,703,1,0.0
332,2017,705,62,214.0
333,2017,706,52,219.0
334,2017,708,1,0.0
335,2017,711,46,197.0
336,2017,713,22,74.0
337,2017,714,3,1.0
338,2017,715,5,4.0
339,2017,717,9,16.0
340,2017,719,24,76.0
341,2017,721,91,507.0
342,2017,722,141,586.0
343,2017,723,29,118.0
344,2017,724,99,276.0
345,2017,725,9,15.0
346,2017,726,14,24.0
347,2017,727,27,124.0
348,2017,729,4,9.0
349,2017,731,1,0.0
350,2017,732,32,80.0
351,2017,733,8,9.0
352,2017,734,95,393.0
353,2017,735,22,63.0
354,2017,736,14,25.0
355,2017,737,16,37.0
356,2017,738,26,64.0
357,2017,739,12,23.0
358,2017,742,14,24.0
359,2017,743,23,77.0
360,2017,745,44,173.0
361,2017,747,19,38.0
362,2017,749,25,93.0
363,2017,752,25,71.0
364,2017,753,15,48.0
365,2017,755,34,76.0
366,2017,757,1,0.0
367,2017,758,72,159.0
368,2017,759,36,79.0
369,2017,761,2,0.0
370,2017,762,32,128.0
371,2017,763,35,84.0
372,2017,764,31,71.0
373,2017,765,195,908.0
374,2017,766,26,28.0
375,2017,767,20,39.0
376,2017,768,1,0.0
377,2017,769,22,33.0
378,2017,773,36,59.0
379,2017,774,60,192.0
380,2017,775,66,196.0
381,2017,776,50,144.0
382,2017,777,19,36.0
383,2017,778,27,36.0
384,2017,779,15,21.0
385,2017,782,88,452.0
386,2017,783,60,164.0
387,2017,784,69,205.0
388,2017,785,64,170.0
389,2017,787,31,41.0
390,2017,788,17,21.0
391,2017,789,44,101.0
392,2017,792,1,0.0
393,2017,794,1,0.0
394,2017,796,1,0.0
395,2017,798,1,0.0
396,2017,801,10,6.0
397,2017,802,4,3.0
398,2017,803,6,10.0
399,2017,804,9,6.0
400,2017,805,31,75.0
401,2017,806,6,12.0
402,2017,807,11,26.0
403,2017,808,17,56.0
404,2017,809,7,12.0
405,2017,811,16,17.0
406,2017,812,4,7.0
407,2017,813,25,27.0
408,2017,814,9,10.0
409,2017,815,10,19.0
410,2017,816,5,3.0
411,2017,817,70,254.0
412,2017,818,12,10.0
413,2017,819,7,18.0
414,2017,821,14,1.0
415,2017,822,34,67.0
416,2017,823,23,38.0
417,2017,824,18,36.0
418,2017,825,6,10.0
419,2017,826,4,3.0
420,2017,827,16,38.0
421,2017,828,16,18.0
422,2017,829,24,62.0
423,2017,831,29,75.0
424,2017,832,49,131.0
425,2017,833,56,147.0
426,2017,834,18,27.0
427,2017,835,79,311.0
428,2017,836,25,57.0
429,2017,837,3,1.0
430,2017,838,8,12.0
431,2017,839,45,125.0
432,2017,841,27,67.0
433,2017,842,116,289.0
434,2017,843,7,1.0
435,2017,847,20,27.0
436,2017,848,4,7.0
437,2017,849,39,151.0
438,2017,851,63,94.0
439,2017,852,85,200.0
440,2017,853,387,892.0
441,2017,854,122,93.0
442,2017,855,90,294.0
443,2017,857,26,100.0
444,2017,858,14,61.0
445,2017,859,89,306.0
446,2017,861,12,14.0
447,2017,871,38,4.0
448,2017,872,7,0.0
449,2017,881,141,445.0
450,2017,882,145,244.0
451,2017,883,63,63.0
452,2017,884,196,623.0
453,2017,885,36,74.0
454,2017,886,6,11.0
455,2017,887,13,22.0
456,2017,889,111,345.0
457,2017,891,31,26.0
458,2017,892,60,59.0
459,2017,893,116,160.0
460,2017,895,14,36.0
461,2017,896,10,15.0
462,2017,897,36,36.0
463,2017,898,74,163.0
464,2017,899,103,179.0
465,2017,900,1,0.0
466,2017,901,372,770.0
467,2017,902,1,0.0
468,2017,904,526,1034.0
469,2017,905,105,304.0
470,2017,906,77,226.0
471,2017,909,160,456.0
472,2017,911,550,1332.0
473,2017,914,308,1382.0
474,2017,915,116,306.0
475,2017,916,60,117.0
476,2017,919,75,299.0
477,2017,923,302,1215.0
478,2017,924,1,0.0
479,2017,925,2,0.0
480,2017,926,286,882.0
481,2017,927,1,0.0
482,2017,929,17,24.0
483,2017,931,41,65.0
484,2017,932,109,357.0
485,2017,933,191,564.0
486,2017,934,2,0.0
487,2017,935,1406,2080.0
488,2017,936,2,0.0
489,2017,937,46,121.0
490,2017,938,44,78.0
491,2017,939,62,99.0
492,2017,941,239,1027.0
493,2017,943,98,303.0
494,2017,945,3,0.0
495,2017,946,41,147.0
496,2017,948,33,55.0
497,2017,952,118,364.0
498,2017,954,1,0.0
499,2017,955,12,9.0
500,2017,957,5,3.0
501,2017,958,20,0.0
502,2017,959,2,0.0
503,2017,961,32,6.0
504,2017,963,67,223.0
505,2017,964,231,689.0
506,2017,965,1,0.0
507,2017,966,31,67.0
508,2017,969,57,125.0
509,2017,971,74,124.0
510,2017,974,90,201.0
511,2017,976,12,14.0
512,2017,978,1,0.0
513,2017,979,13,15.0
514,2017,981,50,122.0
515,2017,984,35,95.0
516,2017,985,177,645.0
517,2017,986,1,0.0
518,2017,989,70,287.0
519,2017,991,43,74.0
520,2017,994,7,15.0
521,2017,998,39,74.0
522,2017,1001,102,262.0
523,2017,1003,58,146.0
524,2017,1004,102,286.0
525,2017,1005,52,120.0
526,2017,1006,34,69.0
527,2017,1007,34,75.0
528,2017,1008,303,803.0
529,2017,1009,39,28.0
530,2017,1011,91,300.0
531,2017,1012,83,218.0
532,2017,1013,2,0.0
533,2017,1014,2,0.0
534,2017,1015,140,399.0
535,2017,1017,49,147.0
536,2017,1018,105,416.0
537,2017,1019,54,41.0
538,2017,1021,85,162.0
539,2017,1023,106,292.0
540,2017,1024,65,151.0
541,2017,1025,137,614.0
542,2017,1026,1,0.0
543,2017,1027,63,162.0
544,2017,1028,85,256.0
545,2017,1029,88,260.0
546,2017,1031,90,120.0
547,2017,1032,3,0.0
548,2017,1033,100,293.0
549,2017,1034,47,82.0
550,2017,1035,142,427.0
551,2017,1036,1,0.0
552,2017,1037,55,109.0
553,2017,1038,1,0.0
554,2017,1039,141,394.0
555,2017,1041,60,129.0
556,2017,1042,1,0.0
557,2017,1043,121,309.0
558,2017,1044,40,55.0
559,2017,1045,48,127.0
560,2017,1047,87,222.0
561,2017,1048,1,0.0
562,2017,1049,137,209.0
563,2017,1059,1,0.0
564,2017,1061,89,248.0
565,2017,1063,189,957.0
566,2017,1065,52,163.0
567,2017,1067,43,127.0
568,2017,1068,7,3.0
569,2017,1071,2,0.0
570,2017,1075,43,137.0
571,2017,1077,34,90.0
572,2017,1078,27,60.0
573,2017,1079,78,103.0
574,2017,1083,11,15.0
575,2017,1087,1,0.0
576,2017,1088,13,34.0
577,2017,1089,20,29.0
578,2017,1091,9,19.0
579,2017,1094,7,13.0
580,2017,1095,1,0.0
581,2017,1097,22,59.0
582,2017,1098,3,0.0
583,2017,1099,16,22.0
584,2017,1101,38,61.0
585,2017,1102,89,215.0
586,2017,1105,13,21.0
587,2017,1107,25,49.0
588,2017,1109,63,141.0
589,2017,1112,23,32.0
590,2017,1113,140,338.0
591,2017,1115,65,197.0
592,2017,1116,40,42.0
593,2017,1117,39,98.0
594,2017,1118,42,79.0
595,2017,1119,46,96.0
596,2017,1122,15,4.0
597,2017,1123,51,131.0
598,2017,1124,151,366.0
599,2017,1125,61,133.0
600,2017,1126,54,114.0
601,2017,1127,36,82.0
602,2017,1128,60,115.0
603,2017,1129,38,83.0
604,2017,1132,14,51.0
605,2017,1133,52,148.0
606,2017,1134,61,161.0
607,2017,1135,36,108.0
608,2017,1136,64,214.0
609,2017,1137,63,91.0
610,2017,1138,42,87.0
611,2017,1139,46,68.0
612,2017,1141,33,104.0
613,2017,1142,39,193.0
614,2017,1143,29,79.0
615,2017,1144,41,76.0
616,2017,1145,42,124.0
617,2017,1146,25,25.0
618,2017,1147,35,77.0
619,2017,1148,52,159.0
620,2017,1149,77,225.0
621,2017,1151,151,712.0
622,2017,1152,52,87.0
623,2017,1153,13,18.0
624,2017,1157,7,6.0
625,2017,1158,35,50.0
626,2017,1159,23,8.0
627,2017,1161,25,48.0
628,2017,1162,151,718.0
629,2017,1163,47,117.0
630,2017,1169,33,51.0
631,2017,1171,31,94.0
632,2017,1172,26,80.0
633,2017,1173,14,21.0
634,2017,1174,5,10.0
635,2017,1175,3,2.0
636,2017,1176,28,45.0
637,2017,1177,137,377.0
638,2017,1178,29,30.0
639,2017,1179,74,80.0
640,2017,1181,103,214.0
641,2017,1183,50,129.0
642,2017,1184,30,53.0
643,2017,1185,12,5.0
644,2017,1186,17,12.0
645,2017,1189,48,70.0
646,2017,1195,60,35.0
647,2017,1199,2,1.0
648,2017,1200,1,0.0
649,2017,1203,196,822.0
650,2017,1204,50,140.0
651,2017,1205,63,157.0
652,2017,1207,66,220.0
653,2017,1208,67,159.0
654,2017,1209,45,109.0
655,2017,1211,133,657.0
656,2017,1213,161,921.0
657,2017,1215,129,454.0
658,2017,1218,140,681.0
659,2017,1219,37,67.0
660,2017,1231,40,90.0
661,2017,1232,113,600.0
662,2017,1233,201,660.0
663,2017,1235,82,276.0
664,2017,1239,219,1025.0
665,2017,1241,155,1063.0
666,2017,1242,47,137.0
667,2017,1243,178,788.0
668,2017,1245,208,1188.0
669,2017,1248,90,302.0
670,2017,1249,593,1598.0
671,2017,1251,137,626.0
672,2017,1252,47,124.0
673,2017,1253,120,528.0
674,2017,1255,99,337.0
675,2017,1256,235,943.0
676,2017,1257,120,381.0
677,2017,1258,695,1690.0
678,2017,1259,179,897.0
679,2017,1263,93,299.0
680,2017,1265,157,840.0
681,2017,1266,190,771.0
682,2017,1267,253,1198.0
683,2017,1268,249,1102.0
684,2017,1269,204,1275.0
685,2017,1273,104,687.0
686,2017,1283,85,369.0
687,2017,1293,9,12.0
688,2017,1303,158,403.0
689,2017,1307,436,963.0
690,2017,1309,211,1168.0
691,2017,1311,19,5.0
692,2017,1313,134,605.0
693,2017,1317,149,460.0
694,2017,1321,146,476.0
695,2017,1322,70,122.0
696,2017,1323,107,316.0
697,2017,1324,40,56.0
698,2017,1325,35,60.0
699,2017,1326,20,17.0
700,2017,1327,61,74.0
701,2017,1331,120,357.0
702,2017,1333,147,449.0
703,2017,1341,136,405.0
704,2017,1342,69,167.0
705,2017,1343,99,267.0
706,2017,1344,78,155.0
707,2017,1345,139,323.0
708,2017,1346,99,232.0
709,2017,1347,90,346.0
710,2017,1351,126,348.0
711,2017,1352,164,457.0
712,2017,1353,118,429.0
713,2017,1354,46,125.0
714,2017,1361,183,716.0
715,2017,1362,176,494.0
716,2017,1363,138,331.0
717,2017,1364,91,228.0
718,2017,1365,91,228.0
719,2017,1367,86,321.0
720,2017,1371,150,602.0
721,2017,1372,137,311.0
722,2017,1373,136,434.0
723,2017,1375,65,155.0
724,2017,1377,83,195.0
725,2017,1381,72,79.0
726,2017,1383,176,642.0
727,2017,1385,160,468.0
728,2017,1391,102,208.0
729,2017,1393,154,354.0
730,2017,1394,84,205.0
731,2017,1395,91,284.0
732,2017,1400,52,0.0
733,2017,1401,36,54.0
734,2017,1402,43,47.0
735,2017,1403,29,39.0
736,2017,1405,12,3.0
737,2017,1406,50,136.0
738,2017,1407,49,167.0
739,2017,1408,23,2.0
740,2017,1409,76,278.0
741,2017,1411,333,58.0
742,2017,1412,962,2870.0
743,2017,1413,603,1467.0
744,2017,1414,121,452.0
745,2017,1415,202,659.0
746,2017,1416,10,19.0
747,2017,1424,5,8.0
748,2017,1425,17,32.0
749,2017,1426,15,15.0
750,2017,1427,38,51.0
751,2017,1428,18,39.0
752,2017,1431,1063,2791.0
753,2017,1432,49,123.0
754,2017,1433,41,144.0
755,2017,1434,31,74.0
756,2017,1435,51,87.0
757,2017,1436,27,26.0
758,2017,1437,35,74.0
759,2017,1438,25,62.0
760,2017,1441,247,1147.0
761,2017,1443,64,210.0
762,2017,1444,152,533.0
763,2017,1445,53,174.0
764,2017,1446,35,87.0
765,2017,1449,12,17.0
766,2017,1451,30,3.0
767,2017,1452,111,340.0
768,2017,1453,43,89.0
769,2017,1454,104,400.0
770,2017,1455,29,67.0
771,2017,1456,40,67.0
772,2017,1457,136,226.0
773,2017,1458,119,140.0
774,2017,1459,14,11.0
775,2017,1462,6,1.0
776,2017,1463,28,56.0
777,2017,1464,15,42.0
778,2017,1465,33,64.0
779,2017,1466,34,32.0
780,2017,1467,83,78.0
781,2017,1468,58,112.0
782,2017,1469,61,265.0
783,2017,1471,21,17.0
784,2017,1472,32,83.0
785,2017,1473,16,35.0
786,2017,1474,30,69.0
787,2017,1475,7,14.0
788,2017,1476,8,8.0
789,2017,1477,45,48.0
790,2017,1479,40,78.0
791,2017,1483,33,106.0
792,2017,1484,19,10.0
793,2017,1485,32,53.0
794,2017,1486,4,2.0
795,2017,1487,44,119.0
796,2017,1488,115,300.0
797,2017,1489,274,425.0
798,2017,1491,43,13.0
799,2017,1492,10,3.0
800,2017,1493,23,23.0
801,2017,1494,837,479.0
802,2017,1495,24,11.0
803,2017,1496,98,58.0
804,2017,1497,28,40.0
805,2017,1498,5,2.0
806,2017,1499,36,34.0
807,2017,1500,2,0.0
808,2017,1501,33,92.0
809,2017,1502,50,64.0
810,2017,1503,149,430.0
811,2017,1504,124,342.0
812,2017,1505,152,328.0
813,2017,1506,51,127.0
814,2017,1507,1,0.0
815,2017,1508,10,10.0
816,2017,1509,13,15.0
817,2017,1511,89,148.0
818,2017,1512,45,123.0
819,2017,1513,142,336.0
820,2017,1514,52,138.0
821,2017,1515,108,219.0
822,2017,1516,52,108.0
823,2017,1517,91,200.0
824,2017,1518,1,0.0
825,2017,1519,58,109.0
826,2017,1521,55,126.0
827,2017,1522,101,245.0
828,2017,1523,50,120.0
829,2017,1524,85,135.0
830,2017,1525,121,412.0
831,2017,1526,191,682.0
832,2017,1527,137,318.0
833,2017,1529,59,118.0
834,2017,1531,35,85.0
835,2017,1532,55,145.0
836,2017,1533,21,21.0
837,2017,1534,1,0.0
838,2017,1535,171,390.0
839,2017,1537,1,0.0
840,2017,1538,100,265.0
841,2017,1539,82,171.0
842,2017,1541,17,26.0
843,2017,1543,59,227.0
844,2017,1544,30,65.0
845,2017,1545,86,213.0
846,2017,1546,21,15.0
847,2017,1547,343,430.0
848,2017,1548,214,912.0
849,2017,1549,118,378.0
850,2017,1551,7,6.0
851,2017,1552,1,0.0
852,2017,1553,54,90.0
853,2017,1555,187,1108.0
854,2017,1557,124,338.0
855,2017,1558,1,0.0
856,2017,1559,19,26.0
857,2017,1562,27,30.0
858,2017,1563,37,73.0
859,2017,1565,38,26.0
860,2017,1566,75,127.0
861,2017,1567,26,38.0
862,2017,1569,13,23.0
863,2017,1581,32,58.0
864,2017,1583,54,107.0
865,2017,1585,128,379.0
866,2017,1586,62,66.0
867,2017,1587,25,8.0
868,2017,1588,11,6.0
869,2017,1589,24,25.0
870,2017,1591,96,425.0
871,2017,1595,26,50.0
872,2017,1596,82,254.0
873,2017,1599,93,248.0
874,2017,1600,3,0.0
875,2017,1601,61,140.0
876,2017,1602,84,322.0
877,2017,1603,1,0.0
878,2017,1605,20,44.0
879,2017,1606,15,23.0
880,2017,1608,6,9.0
881,2017,1611,78,116.0
882,2017,1612,156,668.0
883,2017,1613,41,118.0
884,2017,1615,5,5.0
885,2017,1617,69,146.0
886,2017,1618,9,14.0
887,2017,1619,12,20.0
888,2017,1621,207,577.0
889,2017,1622,123,368.0
890,2017,1623,97,325.0
891,2017,1633,60,205.0
892,2017,1634,28,20.0
893,2017,1635,8,2.0
894,2017,1636,31,72.0
895,2017,1637,54,149.0
896,2017,1638,47,80.0
897,2017,1639,5,7.0
898,2017,1641,105,277.0
899,2017,1642,31,63.0
900,2017,1643,76,175.0
901,2017,1645,27,51.0
902,2017,1647,1,0.0
903,2017,1651,120,360.0
904,2017,1653,154,268.0
905,2017,1654,85,187.0
906,2017,1655,22,47.0
907,2017,1656,73,261.0
908,2017,1657,26,65.0
909,2017,1658,18,30.0
910,2017,1659,14,22.0
911,2017,1661,11,10.0
912,2017,1662,1,0.0
913,2017,1663,144,476.0
914,2017,1664,31,40.0
915,2017,1665,8,9.0
916,2017,1667,24,36.0
917,2017,1668,37,119.0
918,2017,1669,6,6.0
919,2017,1671,1,0.0
920,2017,1672,102,94.0
921,2017,1673,16,12.0
922,2017,1674,1,0.0
923,2017,1675,118,388.0
924,2017,1676,42,123.0
925,2017,1677,36,80.0
926,2017,1678,4,4.0
927,2017,1679,2,3.0
928,2017,1681,133,337.0
929,2017,1682,21,25.0
930,2017,1683,3,0.0
931,2017,1684,165,827.0
932,2017,1685,96,249.0
933,2017,1687,94,374.0
934,2017,1688,1,0.0
935,2017,1689,12,10.0
936,2017,1691,15,18.0
937,2017,1692,9,0.0
938,2017,1693,33,61.0
939,2017,1694,2,0.0
940,2017,1695,45,102.0
941,2017,1697,1,0.0
942,2017,1698,41,67.0
943,2017,1699,15,19.0
944,2017,1700,2,0.0
945,2017,1701,90,260.0
946,2017,1703,16,11.0
947,2017,1704,1,0.0
948,2017,1705,15,22.0
949,2017,1707,14,17.0
950,2017,1708,35,87.0
951,2017,1709,14,3.0
952,2017,1712,31,44.0
953,2017,1713,11,13.0
954,2017,1714,227,51.0
955,2017,1715,26,49.0
956,2017,1716,17,32.0
957,2017,1717,52,49.0
958,2017,1718,14,13.0
959,2017,1719,2,1.0
960,2017,1721,34,62.0
961,2017,1722,62,164.0
962,2017,1723,75,166.0
963,2017,1725,4,4.0
964,2017,1727,24,29.0
965,2017,1728,21,24.0
966,2017,1729,76,125.0
967,2017,1735,75,184.0
968,2017,1736,3,0.0
969,2017,1737,39,80.0
970,2017,1738,28,35.0
971,2017,1739,10,4.0
972,2017,1743,19,32.0
973,2017,1745,95,318.0
974,2017,1747,41,82.0
975,2017,1749,42,69.0
976,2017,1751,79,216.0
977,2017,1752,82,237.0
978,2017,1753,34,66.0
979,2017,1754,43,90.0
980,2017,1755,8,5.0
981,2017,1756,34,56.0
982,2017,1757,32,69.0
983,2017,1758,21,31.0
984,2017,1759,13,10.0
985,2017,1761,56,123.0
986,2017,1762,75,238.0
987,2017,1763,9,7.0
988,2017,1764,279,1143.0
989,2017,1765,9,11.0
990,2017,1766,12,15.0
991,2017,1767,53,162.0
992,2017,1768,21,22.0
993,2017,1771,32,52.0
994,2017,1772,17,34.0
995,2017,1773,8,1.0
996,2017,1774,14,5.0
997,2017,1775,17,19.0
998,2017,1776,20,32.0
999,2017,1777,21,35.0
1000,2017,1778,13,10.0
1001,2017,1779,74,111.0
1002,2017,1781,79,298.0
1003,2017,1782,101,276.0
1004,2017,1783,35,67.0
1005,2017,1785,96,409.0
1006,2017,1787,28,67.0
1007,2017,1788,58,120.0
1008,2017,1791,117,370.0
1009,2017,1792,62,204.0
1010,2017,1793,143,268.0
1011,2017,1794,136,580.0
1012,2017,1795,73,161.0
1013,2017,1796,31,52.0
1014,2017,1797,97,198.0
1015,2017,1798,79,145.0
1016,2017,1799,70,126.0
1017,2017,1800,1,0.0
1018,2017,1801,282,1319.0
1019,2017,1802,270,1844.0
1020,2017,1803,63,77.0
1021,2017,1804,81,276.0
1022,2017,1805,61,115.0
1023,2017,1806,90,249.0
1024,2017,1821,283,951.0
1025,2017,1822,278,1785.0
1026,2017,1823,120,565.0
